customer_id,region,income,debt_to_income,missed_payments,tenure_months,customer_segment,churn
C0001,Township,2800,0.72,3,4,high_strain,1
C0002,Urban,6200,0.18,0,36,stable,0
C0003,Township,3100,0.68,2,6,high_strain,1
C0004,Urban,5800,0.22,0,30,stable,0
C0005,Township,3400,0.61,2,8,high_strain,1
C0006,Urban,5400,0.27,0,24,stable,0
C0007,Township,3600,0.56,1,10,watch,1
C0008,Urban,5100,0.31,0,22,stable,0
C0009,Township,3900,0.49,1,12,watch,1
C0010,Urban,4800,0.35,0,20,stable,0
C0011,Township,4100,0.44,1,14,watch,1
C0012,Urban,4600,0.38,0,18,stable,0
C0013,Township,4300,0.41,1,16,watch,1
C0014,Urban,4400,0.40,0,16,stable,0
C0015,Township,4500,0.38,0,18,stable,0
C0016,Urban,4200,0.43,1,14,watch,1
C0017,Township,4700,0.35,0,20,stable,0
C0018,Urban,4000,0.47,1,12,watch,1
C0019,Township,5000,0.31,0,22,stable,0
C0020,Urban,3800,0.52,2,10,high_strain,1
C0021,Township,2900,0.70,3,5,high_strain,1
C0022,Urban,6100,0.19,0,34,stable,0
C0023,Township,3200,0.65,2,7,high_strain,1
C0024,Urban,5700,0.24,0,28,stable,0
C0025,Township,3500,0.59,2,9,high_strain,1
C0026,Urban,5500,0.26,0,26,stable,0
C0027,Township,3700,0.54,1,11,watch,1
C0028,Urban,5200,0.30,0,23,stable,0
C0029,Township,4000,0.48,1,13,watch,1
C0030,Urban,4900,0.34,0,21,stable,0
C0031,Township,4200,0.45,1,15,watch,1
C0032,Urban,4700,0.37,0,19,stable,0
C0033,Township,4400,0.42,1,17,watch,1
C0034,Urban,4500,0.39,0,17,stable,0
C0035,Township,4600,0.36,0,19,stable,0
C0036,Urban,4300,0.44,1,15,watch,1
C0037,Township,4800,0.33,0,21,stable,0
C0038,Urban,4100,0.46,1,13,watch,1
C0039,Township,5100,0.29,0,24,stable,0
C0040,Urban,3900,0.50,2,11,high_strain,1
